latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,,,,,,
33.625,73.125,583,0,GMT,GMT,,,,,,,,
,,,,,,,,,,,,,
time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),precipitation_probability (%),precipitation (mm),rain (mm),showers (mm),surface_pressure (hPa),visibility (m),cloud_cover_high (%),cloud_cover_mid (%),cloud_cover_low (%)
2025-04-13T08:00,33.1,24,9.8,33.8,0,0,0,0,945.9,24140,0,0,0
2025-04-13T09:00,33.7,21,8.4,33.8,0,0,0,0,945.2,24140,0,0,0
2025-04-13T10:00,33.9,20,7.8,33.2,0,0,0,0,944.1,24140,0,0,0
2025-04-13T11:00,33.7,20,7.7,32,0,0,0,0,943.5,24140,0,0,0
2025-04-13T12:00,33,23,9.1,31.9,0,0,0,0,943.4,24140,0,0,0
2025-04-13T13:00,32,24,8.9,30.9,0,0,0,0,943.4,24140,0,0,0
2025-04-13T14:00,29.8,31,10.8,29.6,0,0,0,0,943.6,24140,0,0,0
2025-04-13T15:00,27.3,37,11.3,27.1,0,0,0,0,943.9,24140,0,0,0
2025-04-13T16:00,25.3,42,11.5,24.9,0,0,0,0,944.3,24140,0,0,0
2025-04-13T17:00,24.5,43,11.1,24,0,0,0,0,944.3,24140,0,0,0
2025-04-13T18:00,23.6,43,10.3,22.9,0,0,0,0,944.2,24140,0,0,0
2025-04-13T19:00,23,45,10.5,22.4,0,0,0,0,943.4,24140,0,0,0
2025-04-13T20:00,22.4,47,10.6,21.9,0,0,0,0,943.2,24140,0,0,0
2025-04-13T21:00,21.8,49,10.6,21.3,0,0,0,0,942.6,24140,0,0,0
2025-04-13T22:00,21.3,50,10.5,20.8,0,0,0,0,942.4,24140,0,0,0
2025-04-13T23:00,20.9,52,10.7,20.4,0,0,0,0,942,24140,0,0,0
2025-04-14T00:00,20.9,52,10.7,20.4,0,0,0,0,942.5,24140,0,0,0
2025-04-14T01:00,20.5,55,11.2,20.2,0,0,0,0,942.6,24140,0,0,0
2025-04-14T02:00,22,55,12.5,22.2,0,0,0,0,943.5,24140,0,0,0
2025-04-14T03:00,25.4,47,13.3,26,0,0,0,0,944.1,24140,0,0,0
2025-04-14T04:00,28.1,40,13.3,28.3,0,0,0,0,945.4,24140,0,0,0
2025-04-14T05:00,29.9,33,11.9,30.4,0,0,0,0,945.6,24140,0,0,0
2025-04-14T06:00,31.1,31,12,32.6,0,0,0,0,946.4,24140,0,0,0
2025-04-14T07:00,32.5,29,12.2,34.5,0,0,0,0,945.5,24140,0,0,0
2025-04-14T08:00,33.7,27,12.1,35.7,0,0,0,0,945,24140,0,0,0
2025-04-14T09:00,34.5,26,12.2,36.1,0,0,0,0,944.1,24140,0,0,0
2025-04-14T10:00,34.8,27,13.1,36,0,0,0,0,943.3,24140,0,0,0
